1,xmlPath,parentWidget,widgetID,controllerId,eventId,jsPath,url,app,sg,so
53,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget829864c150d633649c9604a51f5a0038,DocCopyLayoutLogic,,[],,,,
54,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widgetaf655fb07854302297dbf357b92fadfd,DocCopyLayoutLogic,,[],,,,
55,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget85de734cbde232cd804fb9c58ea13cb9,DocCopyLayoutLogic,,[],,,,
56,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widgetfd34d38188153115924a95a7ac98e790,DocCopyLayoutLogic,,[],,,,
57,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widgetd42aad5917643046ac89713b2d3fcc3b,DocCopyLayoutLogic,,[],,,,
58,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widgetca7662ba88903a059706369531556375,DocCopyLayoutLogic,,[],,,,
59,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget18db5a8471d13c958331a8d59249fce5,DocCopyLayoutLogic,,[],,,,
60,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget18db5a8471d13c958331a8d59249fce5', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget67cc8ed65aaa3d9da21dfb79ea62737f,DocCopyLayoutLogic,,[],,,,
61,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget18db5a8471d13c958331a8d59249fce5', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget71856ff5ccd137dcabc512750707879f,DocCopyLayoutLogic,,[],,,,
62,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget18db5a8471d13c958331a8d59249fce5', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget4f65b6868bc131b1b78027a84d41bb37,DocCopyLayoutLogic,,[],,,,
